biblioteca,tipo,execucao,tempo,memória,custo_aws_usd,custo_gcp_usd,custo_azure_usd,custo_aws_brl,custo_gcp_brl,custo_azure_brl
Manual QuickSort,números,1,43.907896280288696,1714.3671875,0.001170877234141032,0.0008171747363275952,0.0006342251684930589,0.005971473894119263,0.0041675911552707355,0.0032345483593146
Manual QuickSort,números,2,47.17943453788757,1716.11328125,0.0012581182543436686,0.0008780616983440188,0.0006814807211028205,0.00641640309715271,0.004478114661554495,0.0034755516776243845
Manual QuickSort,números,3,46.431944131851196,1715.578125,0.0012381851768493652,0.0008641500713427861,0.0006706836374600728,0.006314744401931762,0.004407165363848209,0.0034204865510463712
Manual QuickSort,números,4,48.877947092056274,1715.36328125,0.001303411922454834,0.0009096729042132695,0.0007060147913297018,0.0066474008045196535,0.004639331811487674,0.003600675435781479
Manual QuickSort,números,5,48.37126302719116,1740.5234375,0.0012899003473917643,0.0009002429507838356,0.0006986960215038723,0.006578491771697998,0.004591239048997561,0.0035633497096697487
NumPy,números,1,0.4014444351196289,1220.84765625,1.0705184936523437e-05,7.471326986948649e-06,5.798641840616862e-06,5.4596443176269524e-05,3.810376763343811e-05,2.9573073387145993e-05
NumPy,números,2,0.39035987854003906,1220.97265625,1.0409596761067709e-05,7.265031072828505e-06,5.638531578911675e-06,5.308894348144531e-05,3.705165847142537e-05,2.8756511052449542e-05
NumPy,números,3,0.3952150344848633,1220.8046875,1.0539067586263021e-05,7.3553909195794e-06,5.708661609225803e-06,5.37492446899414e-05,3.7512493689854936e-05,2.9114174207051592e-05
NumPy,números,4,0.391373872756958,1220.875,1.0436636606852213e-05,7.283902631865607e-06,5.653178162044949e-06,5.322684669494628e-05,3.7147903422514595e-05,2.8831208626429238e-05
NumPy,números,5,0.38344359397888184,1220.89453125,1.0225162506103515e-05,7.136311332384745e-06,5.538629690806071e-06,5.214832878112792e-05,3.63951877951622e-05,2.824701142311096e-05
Pandas,números,1,1.3726565837860107,1402.07421875,3.6604175567626955e-05,2.5546664198239644e-05,1.9827261765797933e-05,0.00018668129539489746,0.00013028798741102218,0.00010111903500556945
Pandas,números,2,1.3085660934448242,1444.4375,3.489509582519531e-05,2.435386896133423e-05,1.890151023864746e-05,0.00017796498870849606,0.00012420473170280457,9.639770221710203e-05
Pandas,números,3,1.3833787441253662,1392.25,3.68900998433431e-05,2.574621551566654e-05,1.9982137415144177e-05,0.0001881395092010498,0.00013130569912989934,0.0001019089008172353
Pandas,números,4,1.2864890098571777,1373.99609375,3.4306373596191404e-05,2.394298990567525e-05,1.8582619031270345e-05,0.00017496250534057616,0.00012210924851894378,9.477135705947875e-05
Pandas,números,5,1.3430628776550293,1426.44140625,3.581501007080078e-05,2.499589244524638e-05,1.9399797121683756e-05,0.00018265655136108397,0.00012747905147075653,9.893896532058714e-05
Dask,números,1,1.4124634265899658,1560.68359375,3.766569137573242e-05,2.6287513772646586e-05,2.0402249495188393e-05,0.00019209502601623535,0.00013406632024049757,0.0001040514724254608
Dask,números,2,1.286010503768921,1906.0,3.429361343383789e-05,2.393408437569936e-05,1.857570727666219e-05,0.00017489742851257322,0.00012206383031606673,9.473610711097716e-05
Dask,números,3,1.2272710800170898,1868.0078125,3.272722880045573e-05,2.2840878433651396e-05,1.7727248933580185e-05,0.0001669088668823242,0.00011648848001162211,9.040896956125893e-05
Dask,números,4,1.3326869010925293,1865.890625,3.5538317362467446e-05,2.4802783992555406e-05,1.9249921904669867e-05,0.00018124541854858397,0.00012649419836203255,9.817460171381632e-05
Dask,números,5,1.3119196891784668,1942.34765625,3.498452504475912e-05,2.44162831041548e-05,1.8949951065911187e-05,0.0001784210777282715,0.00012452304383118946,9.664475043614705e-05
Manual QuickSort,strings,1,70.99382758140564,1727.41015625,0.0018931687355041504,0.001321274013320605,0.0010254663983980815,0.009655160551071166,0.006738497467935084,0.005229878631830215
Manual QuickSort,strings,2,69.95065116882324,1727.63671875,0.0018653506978352865,0.0013018593411975436,0.0010103982946607802,0.00951328855895996,0.006639482640107472,0.005153031302769978
Manual QuickSort,strings,3,72.039559841156,1732.61328125,0.0019210549290974935,0.0013407362525992923,0.001040571419927809,0.009797380138397217,0.00683775488825639,0.005306914241631826
Manual QuickSort,strings,4,71.22651720046997,1785.640625,0.0018993737920125326,0.0013256046256754134,0.001028827470673455,0.009686806339263915,0.006760583590944608,0.0052470201004346205
Manual QuickSort,strings,5,70.8657386302948,1724.5546875,0.0018897530301411948,0.0013188901356193754,0.0010236162246598137,0.009637740453720093,0.006726339691658814,0.00522044274576505
NumPy,strings,1,18.328749656677246,1448.11328125,0.0004887666575113933,0.0003411183963881599,0.00026474860615200465,0.0024927099533081057,0.0017397038215796153,0.0013502178913752235
NumPy,strings,2,17.84264850616455,1448.125,0.000475803960164388,0.0003320715138647291,0.0002577271450890435,0.0024266001968383786,0.0016935647207101184,0.0013144084399541217
NumPy,strings,3,17.79778790473938,1448.125,0.0004746076774597168,0.000331236608227094,0.00025707915862401324,0.0024204991550445553,0.0016893067019581793,0.0013111037089824674
NumPy,strings,4,18.649801015853882,1448.125,0.0004973280270894368,0.0003470935189061695,0.00026938601467344495,0.0025363729381561277,0.0017701769464214642,0.0013738686748345692
NumPy,strings,5,17.394187688827515,1448.125,0.0004638450050354004,0.00032372515976428987,0.00025124937772750855,0.002365609525680542,0.0016509983147978782,0.0012813718264102936
Pandas,strings,1,30.36050820350647,1695.7578125,0.0008096135520935058,0.0005650427915652593,0.000438540674050649,0.00412902911567688,0.002881718236982822,0.00223655743765831
Pandas,strings,2,30.742900371551514,1695.9296875,0.000819810676574707,0.0005721595346927643,0.0004440641164779663,0.004181034450531005,0.0029180136269330976,0.002264726994037628
Pandas,strings,3,32.12916326522827,1732.921875,0.0008567776870727539,0.0005979594274361928,0.000464087913831075,0.004369566204071045,0.003049593079924583,0.0023668483605384823
Pandas,strings,4,29.510572910308838,1695.93359375,0.000786948610941569,0.0005492245513863033,0.0004262638309266832,0.004013437915802002,0.002801045212070147,0.002173945537726084
Pandas,strings,5,28.631619691848755,1695.953125,0.0007635098584493001,0.000532866255376074,0.0004135678399933709,0.0038939002780914306,0.0027176179024179774,0.0021091959839661914
Dask,strings,1,3.2598094940185547,1837.71484375,8.692825317382813e-05,6.066867669423421e-05,4.708613713582357e-05,0.00044333409118652343,0.00030941025114059447,0.00024013929939270017
Dask,strings,2,3.1685009002685547,1947.15234375,8.449335734049479e-05,5.896932231055366e-05,4.5767235226101344e-05,0.0004309161224365234,0.00030074354378382365,0.00023341289965311685
Dask,strings,3,3.1106197834014893,1951.34375,8.294986089070637e-05,5.789209041330549e-05,4.493117464913262e-05,0.0004230442905426025,0.000295249661107858,0.00022914899071057636
Dask,strings,4,3.162663698196411,1960.27734375,8.433769861857097e-05,5.8860685494210985e-05,4.568292008505927e-05,0.0004301222629547119,0.000300189496020476,0.00023298289243380225
Dask,strings,5,3.085289716720581,1951.37890625,8.227439244588217e-05,5.7420669727855255e-05,4.456529590818617e-05,0.000419599401473999,0.00029284541561206177,0.00022728300913174945
